collegeAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,name
4036476,239,Baylor,Big 12,Washington,2021,William Bradley-King
4259570,61,Georgia,SEC,Los Angeles,2021,Mark Webb
4047648,2116,UCF,American Athletic,New England,2021,Tre Nixon
4044064,2132,Cincinnati,American Athletic,Arizona,2021,James Wiggins
4037478,2132,Cincinnati,American Athletic,Miami,2021,Gerrid Doaks
4241396,201,Oklahoma,Big 12,Pittsburgh,2021,Tre Norwood
4045169,213,Penn State,Big Ten,Washington,2021,Shaka Toney
4045174,213,Penn State,Big Ten,Arizona,2021,Michal Menet
4045176,213,Penn State,Big Ten,Indianapolis,2021,Will Fries
4035656,87,Notre Dame,FBS Independents,Los Angeles,2021,Ben Skowronek
4256074,252,BYU,FBS Independents,Chicago,2021,Khyiris Tonga
4046652,252,BYU,FBS Independents,Tampa Bay,2021,Chris Wilcox
4820589,3066,Concordia-St. Paul,Northern Sun,Los Angeles,2021,Chris Garrett
4035372,344,Mississippi State,SEC,Denver,2021,Marquiss Spencer
4240485,59,Georgia Tech,ACC,Pittsburgh,2021,Pressley Harvin III
4068152,6,South Alabama,Sun Belt,New Orleans,2021,Kawaan Baker
4259805,344,Mississippi State,SEC,Green Bay,2021,Kylin Hill
4374033,204,Oregon State,Pac-12,Detroit,2021,Jermar Jefferson
4373642,252,BYU,FBS Independents,Washington,2021,Dax Milne
4240255,248,Houston,American Athletic,Tampa Bay,2021,Grant Stuard
