year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
2022,Connecticut,FBS Independents,,6.3,12,6,6,0,0,0,0,0,6,5,1,0,6,1,5,0
2022,Duke,ACC,Coastal,6.5,12,8,4,0,8,5,3,0,6,5,1,0,6,3,3,0
2022,East Carolina,American Athletic,,6.5,12,7,5,0,8,4,4,0,7,4,3,0,4,2,2,0
2022,Eastern Michigan,Mid-American,West,5.5,12,8,4,0,8,5,3,0,6,3,3,0,6,5,1,0
2022,Florida,SEC,East,6.3,12,6,6,0,8,3,5,0,7,5,2,0,4,1,3,0
2022,Florida Atlantic,Conference USA,,6.6,12,5,7,0,8,4,4,0,6,4,2,0,6,1,5,0
2022,Florida International,Conference USA,,2.5,12,4,8,0,8,2,6,0,6,2,4,0,6,2,4,0
2022,Florida State,ACC,Atlantic,8.9,12,9,3,0,8,5,3,0,7,5,2,0,4,3,1,0
2022,Fresno State,Mountain West,West,7.4,13,9,4,0,9,8,1,0,6,5,1,0,7,4,3,0
2022,Georgia,SEC,East,12.7,13,13,0,0,9,9,0,0,6,6,0,0,4,4,0,0
2022,Georgia Southern,Sun Belt,East,3.8,12,6,6,0,8,3,5,0,6,4,2,0,6,2,4,0
2022,Georgia State,Sun Belt,East,5.6,12,4,8,0,8,3,5,0,6,2,4,0,6,2,4,0
2022,Georgia Tech,ACC,Coastal,3.7,12,5,7,0,8,4,4,0,5,2,3,0,6,3,3,0
2022,Hawai'i,Mountain West,West,2.9,13,3,10,0,8,2,6,0,7,3,4,0,6,0,6,0
2022,Houston,American Athletic,,7.2,12,7,5,0,8,5,3,0,6,3,3,0,6,4,2,0
2022,Illinois,Big Ten,West,10,12,8,4,0,9,5,4,0,7,5,2,0,5,3,2,0
2022,Indiana,Big Ten,East,1.7,12,4,8,0,9,2,7,0,7,3,4,0,5,1,4,0
2022,Iowa,Big Ten,West,5.9,12,7,5,0,9,5,4,0,7,4,3,0,5,3,2,0
2022,Iowa State,Big 12,,4.7,12,4,8,0,9,1,8,0,7,3,4,0,5,1,4,0
2022,James Madison,Sun Belt,East,8.4,11,8,3,0,8,6,2,0,6,5,1,0,5,3,2,0
2022,Kansas,Big 12,,6.9,12,6,6,0,9,3,6,0,6,4,2,0,6,2,4,0
2022,Kansas State,Big 12,,10.1,13,10,3,0,10,8,2,0,7,5,2,0,5,4,1,0
2022,Kent State,Mid-American,East,4.1,12,5,7,0,8,4,4,0,5,3,2,0,7,2,5,0
2022,Kentucky,SEC,East,7.2,12,7,5,0,8,3,5,0,8,5,3,0,4,2,2,0
2022,Liberty,FBS Independents,,7.2,12,8,4,0,3,2,1,0,6,4,2,0,6,4,2,0
2022,Louisiana,Sun Belt,West,5.4,12,6,6,0,8,4,4,0,6,4,2,0,6,2,4,0
2022,Louisiana Monroe,Sun Belt,West,2.9,12,4,8,0,8,3,5,0,5,3,2,0,7,1,6,0
2022,Louisiana Tech,Conference USA,,3.8,12,3,9,0,8,2,6,0,5,3,2,0,7,0,7,0
2022,Louisville,ACC,Atlantic,7.3,12,7,5,0,8,4,4,0,6,5,1,0,6,2,4,0
2022,LSU,SEC,West,7.9,13,9,4,0,9,6,3,0,7,6,1,0,4,3,1,0
2022,Marshall,Sun Belt,East,7.4,12,8,4,0,8,5,3,0,6,4,2,0,6,4,2,0
2022,Maryland,Big Ten,East,5.8,12,7,5,0,9,4,5,0,7,5,2,0,5,2,3,0
2022,Memphis,American Athletic,,6.6,12,6,6,0,8,3,5,0,7,5,2,0,5,1,4,0
2022,Miami,ACC,Coastal,4.9,12,5,7,0,8,3,5,0,7,2,5,0,5,3,2,0
2022,Miami (OH),Mid-American,East,3.5,12,6,6,0,8,4,4,0,5,3,2,0,6,3,3,0
2022,Michigan,Big Ten,East,12.5,13,13,0,0,10,10,0,0,8,8,0,0,4,4,0,0
2022,Michigan State,Big Ten,East,3.9,12,5,7,0,9,3,6,0,7,4,3,0,5,1,4,0
2022,Middle Tennessee,Conference USA,,7,12,7,5,0,8,4,4,0,5,3,2,0,7,4,3,0
2022,Minnesota,Big Ten,West,8.8,12,8,4,0,9,5,4,0,7,5,2,0,5,3,2,0
2022,Mississippi State,SEC,West,6.1,12,8,4,0,8,4,4,0,7,6,1,0,5,2,3,0
2022,Missouri,SEC,East,5.4,12,6,6,0,8,3,5,0,7,5,2,0,5,1,4,0
2022,Navy,American Athletic,,7.5,12,4,8,0,8,4,4,0,5,2,3,0,5,2,3,0
2022,NC State,ACC,Atlantic,6.8,12,8,4,0,8,4,4,0,7,6,1,0,5,2,3,0
2022,Nebraska,Big Ten,West,5,12,4,8,0,9,3,6,0,7,2,5,0,4,2,2,0
2022,Nevada,Mountain West,West,2.1,12,2,10,0,8,0,8,0,6,1,5,0,6,1,5,0
2022,New Mexico,Mountain West,Mountain,2.4,12,2,10,0,8,0,8,0,6,2,4,0,6,0,6,0
2022,New Mexico State,FBS Independents,,5.4,12,6,6,0,2,2,0,0,6,4,2,0,6,2,4,0
2022,North Carolina,ACC,Coastal,7,13,9,4,0,9,6,3,0,6,3,3,0,6,6,0,0
2022,Northern Illinois,Mid-American,West,5.7,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0
2022,North Texas,Conference USA,,6.5,13,7,6,0,9,6,3,0,6,5,1,0,7,2,5,0
2022,Northwestern,Big Ten,West,3.5,12,1,11,0,9,1,8,0,6,0,6,0,5,0,5,0
2022,Notre Dame,FBS Independents,,7.8,12,8,4,0,1,1,0,0,6,4,2,0,4,2,2,0
2022,Ohio,Mid-American,East,6.4,13,9,4,0,9,7,2,0,6,6,0,0,6,3,3,0
2022,Ohio State,Big Ten,East,9.5,12,11,1,0,9,8,1,0,8,7,1,0,4,4,0,0
2022,Oklahoma,Big 12,,6.9,12,6,6,0,9,3,6,0,6,4,2,0,5,2,3,0
2022,Oklahoma State,Big 12,,5.3,12,7,5,0,9,4,5,0,7,6,1,0,5,1,4,0
2022,Old Dominion,Sun Belt,East,1.5,12,3,9,0,8,2,6,0,6,2,4,0,6,1,5,0
2022,Ole Miss,SEC,West,8.3,12,8,4,0,8,4,4,0,7,5,2,0,5,3,2,0
2022,Oregon,Pac-12,,9.7,12,9,3,0,9,7,2,0,6,5,1,0,5,4,1,0
2022,Oregon State,Pac-12,,10.2,12,9,3,0,9,6,3,0,6,5,1,0,5,3,2,0
2022,Penn State,Big Ten,East,9.5,12,10,2,0,9,7,2,0,7,6,1,0,5,4,1,0
2022,Pittsburgh,ACC,Coastal,9.3,12,8,4,0,8,5,3,0,7,5,2,0,5,3,2,0
2022,Purdue,Big Ten,West,6.7,13,8,5,0,10,6,4,0,6,4,2,0,6,4,2,0
2022,Rice,Conference USA,,5.2,12,5,7,0,8,3,5,0,6,4,2,0,6,1,5,0
2022,Rutgers,Big Ten,East,4.9,12,4,8,0,9,1,8,0,6,2,4,0,6,2,4,0
2022,San Diego State,Mountain West,West,6.6,12,7,5,0,8,5,3,0,7,5,2,0,5,2,3,0
2022,San José State,Mountain West,West,5.3,11,7,4,0,8,5,3,0,6,6,0,0,5,1,4,0
2022,SMU,American Athletic,,6.1,12,7,5,0,8,5,3,0,6,4,2,0,6,3,3,0
2022,South Alabama,Sun Belt,West,10.3,12,10,2,0,8,7,1,0,6,5,1,0,6,5,1,0
2022,South Carolina,SEC,East,6.7,12,8,4,0,8,4,4,0,7,5,2,0,5,3,2,0
2022,Southern Mississippi,Sun Belt,West,5.9,12,6,6,0,8,4,4,0,6,3,3,0,6,3,3,0
2022,South Florida,American Athletic,,3.2,12,1,11,0,8,0,8,0,5,1,4,0,6,0,6,0
2022,Stanford,Pac-12,,2.9,12,3,9,0,9,1,8,0,6,2,4,0,6,1,5,0
2022,Syracuse,ACC,Atlantic,5.9,12,7,5,0,8,4,4,0,7,5,2,0,5,2,3,0
2022,TCU,Big 12,,9.4,13,12,1,0,10,9,1,0,6,6,0,0,6,6,0,0
2022,Temple,American Athletic,,4.3,12,3,9,0,8,1,7,0,7,3,4,0,5,0,5,0
2022,Tennessee,SEC,East,8.8,12,10,2,0,8,6,2,0,7,7,0,0,5,3,2,0
2022,Texas,Big 12,,9.2,12,8,4,0,9,6,3,0,7,5,2,0,4,2,2,0
2022,Texas A&M,SEC,West,4.7,12,5,7,0,8,2,6,0,7,4,3,0,4,0,4,0
2022,Texas State,Sun Belt,West,4.4,12,4,8,0,8,2,6,0,6,4,2,0,6,0,6,0
2022,Texas Tech,Big 12,,6.3,12,7,5,0,9,5,4,0,7,6,1,0,5,1,4,0
2022,Toledo,Mid-American,West,9.7,13,8,5,0,9,6,3,0,6,5,1,0,6,2,4,0
2022,Troy,Sun Belt,West,9.5,13,11,2,0,9,8,1,0,7,7,0,0,6,4,2,0
2022,Tulane,American Athletic,,8.3,13,11,2,0,9,8,1,0,8,6,2,0,5,5,0,0
2022,Tulsa,American Athletic,,5,12,5,7,0,8,3,5,0,6,3,3,0,6,2,4,0
2022,UAB,Conference USA,,7.8,12,6,6,0,8,4,4,0,6,5,1,0,6,1,5,0
2022,UCF,American Athletic,,7.5,13,9,4,0,9,6,3,0,7,5,2,0,6,4,2,0
2022,UCLA,Pac-12,,8.9,12,9,3,0,9,6,3,0,8,6,2,0,4,3,1,0
2022,UMass,FBS Independents,,1.7,12,1,11,0,3,0,3,0,5,1,4,0,7,0,7,0
2022,UNLV,Mountain West,West,4.8,12,5,7,0,8,3,5,0,6,4,2,0,6,1,5,0
2022,USC,Pac-12,,9.6,13,11,2,0,10,8,2,0,7,7,0,0,5,4,1,0
2022,Utah,Pac-12,,9.6,13,10,3,0,10,8,2,0,6,6,0,0,6,3,3,0
2022,Utah State,Mountain West,Mountain,5.5,12,6,6,0,8,5,3,0,6,4,2,0,6,2,4,0
2022,UTEP,Conference USA,,4.5,12,5,7,0,8,3,5,0,6,4,2,0,6,1,5,0
2022,UT San Antonio,Conference USA,,8.9,13,11,2,0,9,9,0,0,7,6,1,0,6,5,1,0
2022,Vanderbilt,SEC,East,4.8,12,5,7,0,8,2,6,0,6,2,4,0,6,3,3,0
2022,Virginia,ACC,Coastal,4.1,10,3,7,0,7,1,6,0,6,2,4,0,4,1,3,0
2022,Virginia Tech,ACC,Coastal,5,11,3,8,0,7,1,6,0,5,2,3,0,6,1,5,0
2022,Wake Forest,ACC,Atlantic,7.5,12,7,5,0,8,3,5,0,7,5,2,0,5,2,3,0
2022,Washington,Pac-12,,7.8,12,10,2,0,9,7,2,0,7,7,0,0,5,3,2,0
2022,Washington State,Pac-12,,5.4,12,7,5,0,9,4,5,0,7,4,3,0,5,3,2,0
2022,Western Kentucky,Conference USA,,7.6,13,8,5,0,8,6,2,0,6,4,2,0,7,4,3,0
2022,Western Michigan,Mid-American,West,4.3,12,5,7,0,8,4,4,0,6,2,4,0,6,3,3,0
2022,West Virginia,Big 12,,5.3,12,5,7,0,9,3,6,0,6,3,3,0,6,2,4,0
2022,Wisconsin,Big Ten,West,7.1,12,6,6,0,9,4,5,0,7,4,3,0,5,2,3,0
2022,Wyoming,Mountain West,Mountain,5.8,12,7,5,0,8,5,3,0,6,4,2,0,6,3,3,0
