season,season_type,start_date,completed,home_id,home_team,home_conference,home_division,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],away_id,away_team,away_conference,away_division,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],start_time_tbd,venue_id,venue
2022,regular,2022-09-01T23:00:00.000Z,true,2687,Washburn,Mid America,ii,45,17,14,7,7,2876,Lincoln (MO),Mid America,ii,3,0,3,0,0,false,6034,Yager Stadium at Moore Bowl
2022,regular,2022-09-01T23:00:00.000Z,true,125,Grand Valley State,GLIAC,ii,25,0,7,10,8,2146,Colorado Mines,Rocky Mountain,ii,22,0,0,6,16,false,3811,Lubbers Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,2825,Quincy,Great Lakes,ii,15,0,3,6,6,2249,Glenville State,Mountain East,ii,44,10,24,3,7,false,3723,QU Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,2402,Missouri S&T,Great Lakes,ii,20,6,7,0,7,613,South Dakota Mines,Rocky Mountain,ii,43,13,13,10,7,false,3609,Allgood-Bailey Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,128,Northern Michigan,GLIAC,ii,24,7,7,7,3,2816,McKendree,Great Lakes,ii,31,14,3,0,7,false,3950,Superior Dome
2022,regular,2022-09-01T23:00:00.000Z,true,200,Southern Nazarene,Great American,ii,26,0,19,7,0,2028,Arkansas-Monticello,Great American,ii,40,14,7,13,6,false,3934,Southern Nazarene University Football Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,2568,Southern Arkansas,Great American,ii,62,,,,,2823,Northwestern Oklahoma State,Great American,ii,31,,,,,false,5891,Wilkins Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,199,Southeastern Oklahoma,Great American,ii,41,3,10,7,11,2033,Arkansas Tech,Great American,ii,34,10,0,21,0,false,3875,Paul Laird Field
2022,regular,2022-09-01T23:00:00.000Z,true,319,Oklahoma Baptist,Great American,ii,32,2,10,0,20,2888,Ouachita Baptist,Great American,ii,42,0,14,14,14,false,6064,Crain Family Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,2191,East Central,Great American,ii,12,0,9,3,0,2264,Harding,Great American,ii,29,7,7,7,8,false,5936,Koi Ishto Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,2116,UCF,American Athletic,fbs,56,21,7,14,14,2569,South Carolina State,MEAC,fcs,10,0,3,7,0,false,3652,Bright House Networks Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,231,Furman,Southern,fcs,52,21,24,0,7,2822,North Greenville,Gulf South,ii,0,0,0,0,0,false,3868,Paladin Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,2535,Samford,Southern,fcs,27,0,14,0,13,338,Kennesaw State,Atlantic Sun,fcs,17,7,0,10,0,false,3925,Seibert Stadium
2022,regular,2022-09-01T23:00:00.000Z,true,2619,Stony Brook,CAA,fcs,14,7,7,0,0,227,Rhode Island,CAA,fcs,35,7,7,7,14,false,3788,Kenneth P. LaValle Stadium
2022,regular,2022-09-01T23:30:00.000Z,true,2630,UT Martin,OVC,fcs,42,7,14,14,7,2710,Western Illinois,MVFC,fcs,25,0,7,6,12,false,3748,Graham Stadium
2022,regular,2022-09-01T23:30:00.000Z,true,154,Wake Forest,ACC,fbs,44,17,6,14,7,2678,VMI,Southern,fcs,10,0,3,7,0,false,3630,BB&T Field
2022,regular,2022-09-01T23:30:00.000Z,true,2222,Ferris State,GLIAC,ii,36,7,13,7,9,2120,Central Washington,Lone Star,ii,20,3,10,0,7,false,3960,Top Taggart Field
2022,regular,2022-09-01T23:30:00.000Z,true,3066,Concordia-St. Paul,Northern Sun,ii,14,0,7,7,0,2043,Augustana (SD),Northern Sun,ii,28,0,14,7,7,false,5933,Sea Foam Stadium
2022,regular,2022-09-01T23:30:00.000Z,true,2193,East Tennessee State,Southern,fcs,44,20,14,10,0,2369,Mars Hill,South Atlantic,ii,7,0,0,7,0,false,5400,William B. Greene Jr. Stadium
2022,regular,2022-09-02T00:00:00.000Z,true,2110,Central Arkansas,Atlantic Sun,fcs,14,0,0,0,14,2623,Missouri State,MVFC,fcs,27,0,17,3,7,false,3711,Estes Stadium
2022,regular,2022-09-02T00:00:00.000Z,true,253,Southern Utah,Western Athletic,fcs,44,10,10,11,13,2900,St. Thomas (MN),Pioneer,fcs,13,7,0,6,0,false,3706,Eccles Coliseum
2022,regular,2022-09-02T00:00:00.000Z,true,2837,Texas A&M-Commerce,Southland,fcs,52,14,21,7,10,124179,Lincoln University (CA),,,7,0,0,7,0,false,4762,Memorial Stadium (Commerce TX)
2022,regular,2022-09-02T00:00:00.000Z,true,138,Northwest Missouri State,Mid America,ii,33,7,13,13,0,2231,Fort Hays State,Mid America,ii,19,3,9,0,7,false,5134,Bearcat Stadium
2022,regular,2022-09-02T00:00:00.000Z,true,142,Missouri,SEC,fbs,52,0,24,14,14,2348,Louisiana Tech,Conference USA,fbs,24,3,7,0,14,false,3838,Faurot Field
2022,regular,2022-09-02T00:00:00.000Z,true,90,Pittsburg State,Mid America,ii,21,0,14,7,0,2118,Central Missouri State,Mid America,ii,10,3,0,0,7,false,6067,Carnie Smith Stadium
