season,season_type,start_date,completed,home_id,home_team,home_conference,home_division,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],away_id,away_team,away_conference,away_division,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],start_time_tbd,venue_id,venue
2022,regular,2022-10-08T18:00:00.000Z,true,67,Luther,American Rivers,iii,10,10,0,0,0,2141,Coe,American Rivers,iii,56,14,14,14,14,false,5923,Legacy Field in Carlson Stadium
2022,regular,2022-10-08T18:00:00.000Z,true,74,Millikin,CCIW,iii,0,0,0,0,0,2042,Augustana (IL),CCIW,iii,70,14,14,21,21,false,6080,Frank M. Lindsay Field
2022,regular,2022-10-08T18:00:00.000Z,true,2758,Howard Payne,American Southwest,iii,30,3,14,0,13,241,McMurry,American Southwest,iii,18,0,0,0,18,false,5857,Gordon Wood Stadium
2022,regular,2022-10-08T18:00:00.000Z,true,2045,Austin College,American Southwest,iii,15,7,0,8,0,2639,Texas Lutheran,American Southwest,iii,37,0,23,7,7,false,5798,Jerry E. Apple Stadium
2022,regular,2022-10-08T18:00:00.000Z,true,124,Augsburg,Minnesota,iii,0,0,0,0,0,2600,St. Johns (MN),Minnesota,iii,45,21,7,14,3,false,5795,Edor Nelson Field
2022,regular,2022-10-08T18:00:00.000Z,true,2152,Concordia (MN),Minnesota,iii,36,14,15,0,7,2359,Macalester,Minnesota,iii,7,7,0,0,0,false,5825,Jake Christiansen Stadium
2022,regular,2022-10-08T18:00:00.000Z,true,2802,Bethel (MN),Minnesota,iii,49,14,21,14,0,162,Hamline,Minnesota,iii,14,7,0,7,0,false,5804,Royal Stadium
2022,regular,2022-10-08T18:00:00.000Z,true,396,Wheaton College (Ill),CCIW,iii,56,20,19,10,7,72,Elmhurst,CCIW,iii,0,0,0,0,0,false,5115,McCully Stadium
2022,regular,2022-10-08T18:00:00.000Z,true,75,North Park,CCIW,iii,14,7,7,0,0,2106,Carthage,CCIW,iii,33,14,6,0,13,false,6093,Holmgren Athletic Complex
2022,regular,2022-10-08T18:00:00.000Z,true,2810,Hardin-Simmons,American Southwest,iii,70,14,28,7,21,2834,Sul Ross State,American Southwest,iii,35,14,7,14,0,false,5114,Shelton Stadium
2022,regular,2022-10-08T18:00:00.000Z,true,2891,Ripon,Midwest,iii,56,21,21,7,7,65,Grinnell,Midwest,iii,6,0,0,0,6,false,6109,Ingalls Field
2022,regular,2022-10-08T18:00:00.000Z,true,268,Lawrence,Midwest,iii,7,7,0,0,0,2155,Cornell College (IA),Midwest,iii,27,7,6,0,14,false,5919,Ron Roberts Field at the Banta Bowl
2022,regular,2022-10-08T18:00:00.000Z,true,354,Olivet College,Michigan,iii,41,13,21,7,0,126,Kalamazoo,Michigan,iii,17,10,0,7,0,false,6100,Cutler Field
2022,regular,2022-10-08T18:00:00.000Z,true,2741,Wisconsin Lutheran,NACC,iii,0,0,0,0,0,2832,St. Norbert,NACC,iii,7,0,7,0,0,false,5913,Warrior Field at Raabe Stadium
2022,regular,2022-10-08T18:00:00.000Z,true,2194,East Texas Baptist,American Southwest,iii,7,0,0,0,7,2371,Mary Hardin-Baylor,American Southwest,iii,24,7,14,3,0,false,5838,Ornelas Stadium
2022,regular,2022-10-08T18:00:00.000Z,true,86,Rose-Hulman,Heartland,iii,48,20,21,0,7,2362,Manchester,Heartland,iii,14,0,7,7,0,false,6111,Cook Stadium
2022,regular,2022-10-08T18:00:00.000Z,true,2398,Millsaps,Southern Athletic,iii,34,7,14,7,6,418,Hendrix College,Southern Athletic,iii,28,0,7,7,14,false,6081,Harper Davis Field
2022,regular,2022-10-08T18:00:00.000Z,true,409,Concordia (WI),NACC,iii,23,0,6,7,10,101,Eureka College,NACC,iii,20,6,7,0,7,false,5827,Tomasini Stadium
2022,regular,2022-10-08T18:00:00.000Z,true,2980,Ohio Wesleyan,North Coast,iii,41,14,13,7,7,2171,Denison,North Coast,iii,7,0,7,0,0,false,6099,Selby Stadium
2022,regular,2022-10-08T18:00:00.000Z,true,2968,Gustavus Adolphus,Minnesota,iii,77,21,40,6,10,375,St. Scholastica,Minnesota,iii,7,0,0,7,0,false,5893,Hollingsworth Field
2022,regular,2022-10-08T18:00:00.000Z,true,446,Martin Luther College,Upper Midwest,iii,20,7,7,0,6,509,Crown College,Upper Midwest,iii,26,0,0,8,18,false,3843,MLC Bowl
2022,regular,2022-10-08T18:00:00.000Z,true,2101,Carleton,Minnesota,iii,26,7,3,9,7,133,St. Olaf College,Minnesota,iii,7,0,7,0,0,false,7079,Laird Stadium
2022,regular,2022-10-08T18:00:00.000Z,true,2744,UW-Stout,Wisconsin,iii,21,0,14,0,7,2740,Wisconsin-La Crosse,Wisconsin,iii,42,7,14,14,7,false,5900,Don and Nona Williams Stadium
2022,regular,2022-10-08T18:00:00.000Z,true,2723,UW-River Falls,Wisconsin,iii,27,7,10,7,3,271,UW-Oshkosh,Wisconsin,iii,24,3,8,13,0,false,5901,David Smith Stadium at Ramer Field
2022,regular,2022-10-08T18:00:00.000Z,true,2738,Wisconsin-Eau Claire,Wisconsin,iii,24,14,3,0,7,2745,UW-Whitewater,Wisconsin,iii,45,7,17,7,14,false,5916,Carson Park
2022,regular,2022-10-08T18:00:00.000Z,true,143,Washington (MO),CCIW,iii,59,21,21,0,17,306,Illinois Wesleyan,CCIW,iii,14,0,0,14,0,false,5897,Francis Field (MO)
2022,regular,2022-10-08T18:00:00.000Z,true,386,Trinity (TX),Southern Athletic,iii,23,7,3,7,6,3,Birmingham-Southern,Southern Athletic,iii,20,7,3,0,10,false,6132,Trinity University Stadium
2022,regular,2022-10-08T18:30:00.000Z,true,2132,Cincinnati,American Athletic,fbs,28,7,7,7,7,58,South Florida,American Athletic,fbs,24,10,7,0,7,false,3854,Nippert Stadium
2022,regular,2022-10-08T19:00:00.000Z,true,2714,Western State,Rocky Mountain,ii,10,10,0,0,0,613,South Dakota Mines,Rocky Mountain,ii,38,14,10,7,7,false,5782,Mountaineer Bowl
2022,regular,2022-10-08T19:00:00.000Z,true,2029,Arkansas-Pine Bluff,SWAC,fcs,17,0,3,7,7,2640,Texas Southern,SWAC,fcs,24,3,7,7,7,false,3740,Golden Lion Stadium
2022,regular,2022-10-08T19:00:00.000Z,true,2323,Lane,SIAC,ii,26,0,7,13,6,2310,Kentucky State,SIAC,ii,31,0,21,10,0,false,6044,Lane Field
2022,regular,2022-10-08T19:00:00.000Z,true,2403,Missouri Southern State,Mid America,ii,37,17,14,3,3,2876,Lincoln (MO),Mid America,ii,14,7,0,0,7,false,6054,Fred G. Hughes Stadium
2022,regular,2022-10-08T19:00:00.000Z,true,2571,South Dakota State,MVFC,fcs,28,0,14,7,7,233,South Dakota,MVFC,fcs,3,3,0,0,0,false,5237,Coughlin-Alumni Stadium
2022,regular,2022-10-08T19:00:00.000Z,true,2197,Eastern Illinois,OVC,fcs,35,21,14,0,0,2466,Northwestern State,Southland,fcs,27,7,0,7,13,false,3858,O'Brien Stadium
2022,regular,2022-10-08T19:00:00.000Z,true,2542,Savannah State,SIAC,ii,28,0,7,14,7,2355,Virginia Lynchburg,,,14,7,0,0,7,false,3952,Ted Wright Stadium
2022,regular,2022-10-08T19:00:00.000Z,true,2001,Adams State,Rocky Mountain,ii,20,0,7,7,6,2570,Colorado State-Pueblo,Rocky Mountain,ii,52,14,17,14,7,false,5866,Rex Stadium
2022,regular,2022-10-08T19:00:00.000Z,true,132,Bemidji State,Northern Sun,ii,44,7,6,10,21,3066,Concordia-St. Paul,Northern Sun,ii,0,0,0,0,0,false,5874,Chet Anderson Stadium
2022,regular,2022-10-08T19:00:00.000Z,true,2424,New Mexico Highlands,Rocky Mountain,ii,30,6,14,3,7,2069,Black Hills State,Rocky Mountain,ii,28,7,7,0,14,false,6059,Sanchez Family Stadium
2022,regular,2022-10-08T19:00:00.000Z,true,2654,Truman State,Great Lakes,ii,36,17,13,3,3,2402,Missouri S&T,Great Lakes,ii,14,0,8,0,6,false,6077,Stokes Stadium
2022,regular,2022-10-08T19:00:00.000Z,true,2191,East Central,Great American,ii,31,3,11,0,17,2271,Henderson State,Great American,ii,10,0,7,3,0,false,5936,Koi Ishto Stadium
2022,regular,2022-10-08T19:00:00.000Z,true,2242,Geneva College,Presidents',iii,35,7,14,0,14,2018,Allegheny,Presidents',iii,21,7,0,7,7,false,5849,Reeves Field (PA)
2022,regular,2022-10-08T19:00:00.000Z,true,200,Southern Nazarene,Great American,ii,28,7,7,0,14,2264,Harding,Great American,ii,56,21,14,14,7,false,3934,Southern Nazarene University Football Stadium
2022,regular,2022-10-08T19:00:00.000Z,true,90,Pittsburg State,Mid America,ii,24,7,14,0,3,138,Northwest Missouri State,Mid America,ii,22,0,3,7,12,false,6067,Carnie Smith Stadium
2022,regular,2022-10-08T19:00:00.000Z,true,2743,Wisconsin-Stevens Point,Wisconsin,iii,3,0,3,0,0,272,Wisconsin-Platteville,Wisconsin,iii,31,14,7,10,0,false,5903,Community Stadium at Goerke Park
2022,regular,2022-10-08T19:00:00.000Z,true,262,Lake Forest,Midwest,iii,40,7,3,10,20,2286,Illinois College,Midwest,iii,7,0,7,0,0,false,5915,Farwell Field
2022,regular,2022-10-08T19:00:00.000Z,true,2011,Alabama State,SWAC,fcs,12,6,0,0,6,2296,Jackson State,SWAC,fcs,26,0,10,7,9,false,4582,Hornet Stadium
2022,regular,2022-10-08T19:00:00.000Z,true,2028,Arkansas-Monticello,Great American,ii,23,6,3,0,14,2823,Northwestern Oklahoma State,Great American,ii,26,13,0,13,0,false,5871,Convoy Leslie Cotton Boll Stadium
2022,regular,2022-10-08T19:00:00.000Z,true,2546,Southeast Missouri State,OVC,fcs,34,10,17,7,0,2635,Tennessee Tech,OVC,fcs,20,3,10,0,7,false,7003,Houck Field
2022,regular,2022-10-08T19:00:00.000Z,true,93,Murray State,OVC,fcs,16,0,9,7,0,2630,UT Martin,OVC,fcs,45,0,14,7,24,false,3909,Roy Stewart Stadium
2022,regular,2022-10-08T19:00:00.000Z,true,2401,Mississippi College,Gulf South,ii,35,14,14,7,0,2560,Shorter,Gulf South,ii,21,7,7,7,0,false,6053,Robinson-Hale Stadium
2022,regular,2022-10-08T19:00:00.000Z,true,199,Southeastern Oklahoma,Great American,ii,35,6,8,14,7,2568,Southern Arkansas,Great American,ii,32,0,7,0,25,false,3875,Paul Laird Field
2022,regular,2022-10-08T19:00:00.000Z,true,2623,Missouri State,MVFC,fcs,21,14,0,0,7,79,Southern Illinois,MVFC,fcs,38,0,17,21,0,false,3878,Plaster Sports Complex
2022,regular,2022-10-08T19:15:00.000Z,true,2151,Concordia (IL),NACC,iii,37,14,0,14,9,2524,Rockford,NACC,iii,13,0,7,0,6,false,5826,Concordia Stadium
2022,regular,2022-10-08T19:30:00.000Z,true,2655,Tulane,American Athletic,fbs,24,0,14,7,3,151,East Carolina,American Athletic,fbs,9,3,6,0,0,false,4729,Benson Field at Yulman Stadium
2022,regular,2022-10-08T19:30:00.000Z,true,193,Miami (OH),Mid-American,fbs,27,17,0,10,0,2309,Kent State,Mid-American,fbs,24,0,7,7,10,false,3996,Yager Stadium
2022,regular,2022-10-08T19:30:00.000Z,true,77,Northwestern,Big Ten,fbs,7,0,0,0,7,275,Wisconsin,Big Ten,fbs,42,7,21,0,14,false,3911,Ryan Field
2022,regular,2022-10-08T19:30:00.000Z,true,425,Northern State,Northern Sun,ii,42,7,7,21,7,2851,Winona State,Northern Sun,ii,21,7,7,0,7,false,3951,Swisher Field
2022,regular,2022-10-08T19:30:00.000Z,true,61,Georgia,SEC,fbs,42,0,14,7,21,2,Auburn,SEC,fbs,10,0,0,3,7,false,3917,Sanford Stadium
2022,regular,2022-10-08T19:30:00.000Z,true,2459,Northern Illinois,Mid-American,fbs,32,7,0,0,25,2649,Toledo,Mid-American,fbs,52,21,14,10,7,false,3764,Brigham Field at Huskie Stadium
2022,regular,2022-10-08T19:30:00.000Z,true,2117,Central Michigan,Mid-American,fbs,16,10,0,6,0,2050,Ball State,Mid-American,fbs,17,0,7,7,3,false,3786,Kelly/Shorts Stadium
2022,regular,2022-10-08T19:30:00.000Z,true,2426,Navy,American Athletic,fbs,53,10,26,10,7,202,Tulsa,American Athletic,fbs,21,7,7,0,7,false,3852,Navy-Marine Corps Memorial Stadium
2022,regular,2022-10-08T19:30:00.000Z,true,26,UCLA,Pac-12,fbs,42,7,7,14,14,254,Utah,Pac-12,fbs,32,0,10,8,14,false,1056,Rose Bowl
2022,regular,2022-10-08T19:30:00.000Z,true,113,UMass,FBS Independents,fbs,24,7,3,0,14,2335,Liberty,FBS Independents,fbs,42,0,21,14,7,false,3985,Warren McGuirk Alumni Stadium
2022,regular,2022-10-08T19:30:00.000Z,true,197,Oklahoma State,Big 12,fbs,41,17,3,14,7,2641,Texas Tech,Big 12,fbs,31,14,10,7,0,false,3646,Boone Pickens Stadium
2022,regular,2022-10-08T19:30:00.000Z,true,221,Pittsburgh,ACC,fbs,45,7,10,14,14,259,Virginia Tech,ACC,fbs,29,6,10,7,6,false,3752,Heinz Field
2022,regular,2022-10-08T19:30:00.000Z,true,366,Ferrum,Old Dominion,iii,16,0,9,0,7,297,Hampden-Sydney,Old Dominion,iii,35,14,14,7,0,false,5843,W.B. Adams Stadium
2022,regular,2022-10-08T19:30:00.000Z,true,160,New Hampshire,CAA,fcs,24,0,10,7,7,2619,Stony Brook,CAA,fcs,14,0,7,0,7,false,3688,Wildcat Stadium
2022,regular,2022-10-08T19:30:00.000Z,true,5,UAB,Conference USA,fbs,41,21,17,3,0,2393,Middle Tennessee,Conference USA,fbs,14,7,0,7,0,false,7221,Protective Stadium
2022,regular,2022-10-08T19:30:00.000Z,true,2729,William & Mary,CAA,fcs,27,0,17,7,3,48,Delaware,CAA,fcs,21,0,7,14,0,false,3998,Zable Stadium
2022,regular,2022-10-08T20:00:00.000Z,true,2390,Miami,ACC,fbs,24,0,17,0,7,153,North Carolina,ACC,fbs,27,7,14,3,3,false,3948,Hard Rock Stadium
2022,regular,2022-10-08T20:00:00.000Z,true,17,Claremont,So. Cal.,iii,28,7,7,0,14,411,Chapman,So. Cal.,iii,6,0,6,0,0,false,5821,Fritz B. Burns Stadium
2022,regular,2022-10-08T20:00:00.000Z,true,2508,Puget Sound,Northwest,iii,21,7,7,0,7,205,Pacific (OR),Northwest,iii,42,7,14,14,7,false,6104,Baker Stadium
2022,regular,2022-10-08T20:00:00.000Z,true,2486,Pacific Lutheran,Northwest,iii,47,7,7,19,14,2333,Lewis & Clark,Northwest,iii,21,0,14,0,7,false,6102,Sparks Stadium
2022,regular,2022-10-08T20:00:00.000Z,true,147,Montana State,Big Sky,fcs,37,14,20,0,3,304,Idaho State,Big Sky,fcs,6,6,0,0,0,false,3643,Bobcat Stadium
2022,regular,2022-10-08T20:00:00.000Z,true,9,Arizona State,Pac-12,fbs,45,3,21,14,7,264,Washington,Pac-12,fbs,38,7,10,14,7,false,3947,Sun Devil Stadium
2022,regular,2022-10-08T20:00:00.000Z,true,238,Vanderbilt,SEC,fbs,28,3,17,0,8,145,Ole Miss,SEC,fbs,52,3,14,21,14,false,3973,Vanderbilt Stadium
2022,regular,2022-10-08T20:00:00.000Z,true,2382,Mercer,Southern,fcs,49,21,21,0,7,2717,Western Carolina,Southern,fcs,6,0,0,6,0,false,4417,Five Star Stadium at the Moye Complex
2022,regular,2022-10-08T20:00:00.000Z,true,107,Holy Cross,Patriot,fcs,57,21,16,13,7,2083,Bucknell,Patriot,fcs,0,0,0,0,0,false,3722,Fitton Field
2022,regular,2022-10-08T20:00:00.000Z,true,2444,Newberry,South Atlantic,ii,42,14,21,7,0,122666,Barton College,South Atlantic,ii,21,14,0,0,7,false,3926,Setzler Field
2022,regular,2022-10-08T20:00:00.000Z,true,101784,Erskine,South Atlantic,ii,13,0,6,0,7,2369,Mars Hill,South Atlantic,ii,33,10,14,9,0,false,7076,J.W. Babb Stadium
2022,regular,2022-10-08T20:00:00.000Z,true,2273,Hillsdale,Great Midwest Athletic,ii,0,0,0,0,0,2838,Tiffin,Great Midwest Athletic,ii,41,7,14,20,0,false,3729,"Frank ""Muddy"" Waters Stadium"
2022,regular,2022-10-08T20:00:00.000Z,true,389,Upper Iowa,Northern Sun,ii,14,0,7,0,7,2043,Augustana (SD),Northern Sun,ii,31,7,7,7,10,false,6030,Harms-Eischeid Stadium
2022,regular,2022-10-08T20:00:00.000Z,true,330,Virginia State,CIAA,ii,14,0,7,0,7,2075,Bowie State,CIAA,ii,41,24,7,10,0,false,3904,Rogers Stadium (VA)
2022,regular,2022-10-08T20:00:00.000Z,true,611,Seton Hill College,Pennsylvania State Athletic,ii,13,0,6,0,7,2134,Clarion,Pennsylvania State Athletic,ii,40,14,7,10,9,false,3859,Offutt Field
2022,regular,2022-10-08T20:00:00.000Z,true,127,Michigan State,Big Ten,fbs,20,7,6,0,7,194,Ohio State,Big Ten,fbs,49,14,21,14,0,false,3936,Spartan Stadium
2022,regular,2022-10-08T20:00:00.000Z,true,59,Georgia Tech,ACC,fbs,23,3,7,7,3,150,Duke,ACC,fbs,20,0,3,3,14,false,721,Bobby Dodd Stadium at Historic Grant Field
2022,regular,2022-10-08T20:00:00.000Z,true,2047,Averett,Old Dominion,iii,7,0,7,0,0,2516,Randolph-Macon,Old Dominion,iii,55,21,7,6,21,false,5799,Daly Field at Frank R. Campbell Stadium
2022,regular,2022-10-08T20:00:00.000Z,true,2930,Willamette,Northwest,iii,10,0,0,3,7,415,George Fox University,Northwest,iii,27,3,14,0,10,false,6149,McCulloch Stadium
2022,regular,2022-10-08T20:00:00.000Z,true,2097,Campbell,Big South,fcs,34,14,10,7,3,2127,Charleston Southern,Big South,fcs,28,7,7,7,7,false,3629,Barker-Lane Stadium
2022,regular,2022-10-08T20:00:00.000Z,true,2464,Northern Arizona,Big Sky,fcs,31,14,7,7,3,13,Cal Poly,Big Sky,fcs,29,6,14,0,9,false,2023,Walkup Skydome
2022,regular,2022-10-08T21:00:00.000Z,true,49,Dubuque,American Rivers,iii,66,35,10,14,7,2564,Simpson College,American Rivers,iii,14,0,7,0,7,false,5836,Chalmers Field
2022,regular,2022-10-08T21:00:00.000Z,true,2110,Central Arkansas,Atlantic Sun,fcs,49,14,14,21,0,2815,Lindenwood,OVC,fcs,52,14,21,14,3,false,3711,Estes Stadium
2022,regular,2022-10-08T21:00:00.000Z,true,137,Missouri Western,Mid America,ii,18,7,0,3,8,2438,Nebraska-Kearney,Mid America,ii,39,8,10,7,14,false,6055,Craig Field at Spratt Memorial Stadium
2022,regular,2022-10-08T21:00:00.000Z,true,2460,Northern Iowa,MVFC,fcs,21,7,7,0,7,2287,Illinois State,MVFC,fcs,23,10,10,3,0,false,3967,UNI-Dome
2022,regular,2022-10-08T21:00:00.000Z,true,2504,Prairie View,SWAC,fcs,13,10,3,0,0,2582,Southern,SWAC,fcs,45,7,3,14,21,false,5238,Panther Stadium
2022,regular,2022-10-08T21:00:00.000Z,true,2003,Adrian,Michigan,iii,21,0,7,14,0,2651,Trine,Michigan,iii,27,7,10,7,3,false,5787,Docking Stadium
2022,regular,2022-10-08T21:00:00.000Z,true,2916,Incarnate Word,Southland,fcs,56,35,21,0,0,2320,Lamar,Southland,fcs,17,0,10,0,7,false,3734,Gayle and Tom Benson Stadium
2022,regular,2022-10-08T21:00:00.000Z,true,2502,Portland State,Big Sky,fcs,48,7,28,13,0,124179,Lincoln University (CA),,,6,0,0,0,6,false,4765,Hillsboro Stadium
2022,regular,2022-10-08T21:00:00.000Z,true,2545,Southeastern Louisiana,Southland,fcs,28,0,14,7,7,2837,Texas A&M-Commerce,Southland,fcs,31,7,3,14,7,false,3944,Strawberry Stadium
2022,regular,2022-10-08T22:00:00.000Z,true,338,Kennesaw State,Atlantic Sun,fcs,40,7,3,7,10,2453,North Alabama,Atlantic Sun,fcs,34,3,3,7,14,false,4899,Fifth Third Bank Stadium
2022,regular,2022-10-08T22:00:00.000Z,true,2636,UT San Antonio,Conference USA,fbs,31,7,10,7,7,98,Western Kentucky,Conference USA,fbs,28,7,7,0,14,false,3604,Alamodome
2022,regular,2022-10-08T22:00:00.000Z,true,351,Wingate,South Atlantic,ii,28,7,7,0,14,2107,Catawba,South Atlantic,ii,0,0,0,0,0,false,5781,Irwin Belk Stadium
2022,regular,2022-10-08T22:00:00.000Z,true,215,Slippery Rock,Pennsylvania State Athletic,ii,31,7,10,7,7,2385,Mercyhurst,Pennsylvania State Athletic,ii,17,0,3,14,0,false,4430,Mihalik-Thompson Stadium
2022,regular,2022-10-08T22:00:00.000Z,true,124110,UFTL,,,0,,,,,124180,Bluefield,Independent DII,ii,0,,,,,false,,
2022,regular,2022-10-08T22:00:00.000Z,true,2634,Tennessee State,OVC,fcs,41,7,24,3,7,2065,Bethune-Cookman,SWAC,fcs,17,3,0,7,7,false,3810,Nissan Stadium
2022,regular,2022-10-08T22:00:00.000Z,true,2754,Youngstown State,MVFC,fcs,30,3,18,3,6,155,North Dakota,MVFC,fcs,35,14,7,0,14,false,844,Stambaugh Stadium
2022,regular,2022-10-08T22:00:00.000Z,true,2698,West Georgia,Gulf South,ii,28,7,7,7,7,110242,West Florida,Gulf South,ii,42,7,7,14,14,false,5888,University Stadium (GA)
2022,regular,2022-10-08T22:00:00.000Z,true,2206,Edward Waters,SIAC,ii,7,7,0,0,0,2013,Albany State (GA),SIAC,ii,55,20,14,14,7,false,3705,Earl Kitchings Stadium
2022,regular,2022-10-08T22:00:00.000Z,true,2818,Montclair State,New Jersey,iii,22,10,6,6,0,2871,Kean,New Jersey,iii,23,0,6,3,14,false,6085,Sprague Field
2022,regular,2022-10-08T22:00:00.000Z,true,2019,Allen,SIAC,ii,41,21,7,13,0,2805,Clark Atlanta,SIAC,ii,42,14,14,0,14,false,6217,W.C. Hawkins Stadium
2022,regular,2022-10-08T22:30:00.000Z,true,112,Tufts,NESCAC,iii,31,0,21,10,0,340,Bowdoin,NESCAC,iii,13,0,6,0,7,false,6133,Ellis Oval at Zimman Field
2022,regular,2022-10-08T23:00:00.000Z,true,2653,Troy,Sun Belt,fbs,27,3,7,7,10,2572,Southern Mississippi,Sun Belt,fbs,10,0,7,3,0,false,3975,Veterans Memorial Stadium
2022,regular,2022-10-08T23:00:00.000Z,true,2757,Berry College,Southern Athletic,iii,34,14,7,7,6,2519,Rhodes,Southern Athletic,iii,0,0,0,0,0,false,4422,Valhalla Stadium
2022,regular,2022-10-08T23:00:00.000Z,true,2025,Angelo State,Lone Star,ii,28,21,0,7,0,2201,Eastern New Mexico,Lone Star,ii,9,6,3,0,0,false,5869,LeGrand Stadium at 1st Community Credit Union Field
2022,regular,2022-10-08T23:00:00.000Z,true,2617,Stephen F. Austin,Western Athletic,fcs,41,14,10,7,10,2000,Abilene Christian,Western Athletic,fcs,38,0,21,10,7,false,3756,Homer Bryce Stadium
2022,regular,2022-10-08T23:00:00.000Z,true,2348,Louisiana Tech,Conference USA,fbs,41,20,10,0,11,2638,UTEP,Conference USA,fbs,31,3,7,0,21,false,3776,Joe Aillet Stadium
2022,regular,2022-10-08T23:00:00.000Z,true,167,New Mexico,Mountain West,fbs,14,14,0,0,0,2751,Wyoming,Mountain West,fbs,27,0,7,10,10,false,3971,University Stadium
2022,regular,2022-10-08T23:00:00.000Z,true,328,Utah State,Mountain West,fbs,34,10,3,7,14,2005,Air Force,Mountain West,fbs,27,7,7,3,10,false,3905,Romney Stadium
2022,regular,2022-10-08T23:00:00.000Z,true,326,Texas State,Sun Belt,fbs,36,7,17,9,3,2026,Appalachian State,Sun Belt,fbs,24,0,3,7,14,false,3644,Jim Wacker Field at Bobcat Stadium
2022,regular,2022-10-08T23:00:00.000Z,true,319,Oklahoma Baptist,Great American,ii,13,0,13,0,0,2033,Arkansas Tech,Great American,ii,34,14,10,3,7,false,6064,Crain Family Stadium
2022,regular,2022-10-08T23:00:00.000Z,true,2673,Valdosta State,Gulf South,ii,31,14,3,7,7,2695,West Alabama,Gulf South,ii,34,7,13,7,7,false,4851,Bazemore-Hyder Stadium
2022,regular,2022-10-08T23:00:00.000Z,true,2229,Florida International,Conference USA,fbs,12,0,0,10,2,41,Connecticut,FBS Independents,fbs,33,7,13,6,7,false,218,FIU Stadium
2022,regular,2022-10-08T23:00:00.000Z,true,2032,Arkansas State,Sun Belt,fbs,20,0,3,10,7,256,James Madison,Sun Belt,fbs,42,0,14,7,21,false,3625,Centennial Bank Stadium
2022,regular,2022-10-08T23:00:00.000Z,true,110243,University of Texas of the Permian Basin,Lone Star,ii,31,7,14,0,3,2829,Simon Fraser,Lone Star,ii,24,0,9,7,8,false,5917,Ratliff Stadium
2022,regular,2022-10-08T23:00:00.000Z,true,2277,Houston Christian,Southland,fcs,17,0,0,14,3,2447,Nicholls,Southland,fcs,19,3,3,7,6,false,4424,Husky Stadium
2022,regular,2022-10-08T23:00:00.000Z,true,2400,Mississippi Valley State,SWAC,fcs,7,0,7,0,0,2016,Alcorn State,SWAC,fcs,30,7,7,0,16,false,3896,Rice-Totten Field
2022,regular,2022-10-08T23:30:00.000Z,true,96,Kentucky,SEC,fbs,14,0,7,0,7,2579,South Carolina,SEC,fbs,24,7,0,10,7,false,3683,Commonwealth Stadium
2022,regular,2022-10-08T23:30:00.000Z,true,87,Notre Dame,FBS Independents,fbs,28,3,15,7,3,252,BYU,FBS Independents,fbs,20,6,0,7,7,false,6501,Allegiant Stadium
2022,regular,2022-10-08T23:30:00.000Z,true,30,USC,Pac-12,fbs,30,10,7,7,6,265,Washington State,Pac-12,fbs,14,0,14,0,0,false,477,Los Angeles Memorial Coliseum
2022,regular,2022-10-08T23:30:00.000Z,true,154,Wake Forest,ACC,fbs,45,14,7,17,7,349,Army,FBS Independents,fbs,10,0,0,0,10,false,3630,BB&T Field
2022,regular,2022-10-08T23:30:00.000Z,true,66,Iowa State,Big 12,fbs,9,3,3,3,0,2306,Kansas State,Big 12,fbs,10,7,0,0,3,false,3772,Jack Trice Stadium
2022,regular,2022-10-08T23:30:00.000Z,true,356,Illinois,Big Ten,fbs,9,3,3,0,3,2294,Iowa,Big Ten,fbs,6,3,3,0,0,false,3832,Memorial Stadium
2022,regular,2022-10-08T23:30:00.000Z,true,103,Boston College,ACC,fbs,3,0,3,0,0,228,Clemson,ACC,fbs,31,3,7,7,14,false,3615,Alumni Stadium
2022,regular,2022-10-09T00:00:00.000Z,true,2395,Midwestern State,Lone Star,ii,26,10,0,13,3,2704,West Texas A&M,Lone Star,ii,38,14,14,7,3,false,6049,"Memorial Stadium (Wichita Falls, TX)"
2022,regular,2022-10-09T00:00:00.000Z,true,2231,Fort Hays State,Mid America,ii,14,0,7,7,0,2687,Washburn,Mid America,ii,45,14,10,21,0,false,5890,Lewis Field Stadium
2022,regular,2022-10-09T00:00:00.000Z,true,333,Alabama,SEC,fbs,24,0,17,7,0,245,Texas A&M,SEC,fbs,20,0,14,3,3,false,3657,Bryant Denny Stadium
2022,regular,2022-10-09T00:00:00.000Z,true,152,NC State,ACC,fbs,19,3,0,10,6,52,Florida State,ACC,fbs,17,0,17,0,0,false,3670,Carter-Finley Stadium
2022,regular,2022-10-09T00:00:00.000Z,true,60,Morehouse,SIAC,ii,14,0,14,0,0,2657,Tuskegee,SIAC,ii,31,7,7,10,7,false,3803,Legion Field
2022,regular,2022-10-09T00:00:00.000Z,true,253,Southern Utah,Western Athletic,fcs,40,0,10,3,27,2627,Tarleton State,Western Athletic,fcs,42,0,14,21,7,false,3706,Eccles Coliseum
2022,regular,2022-10-09T00:00:00.000Z,true,2433,Louisiana Monroe,Sun Belt,fbs,21,7,7,7,0,324,Coastal Carolina,Sun Belt,fbs,28,14,14,0,0,false,3817,Malone Stadium
